"subject_id","trial_number","categorical_condition"
1,1,"Complex"
1,2,"Simple"
1,3,"Complex"
1,4,"Simple"
1,5,"Simple"
1,6,"Complex"
1,7,"Complex"
1,8,"Simple"
1,9,"Simple"
1,10,"Complex"
1,11,"Complex"
1,12,"Simple"
1,13,"Simple"
1,14,"Complex"
1,15,"Complex"
1,16,"Simple"
1,17,"Simple"
1,18,"Complex"
1,19,"Simple"
1,20,"Complex"
2,1,"Complex"
2,2,"Complex"
2,3,"Simple"
2,4,"Complex"
2,5,"Simple"
2,6,"Complex"
2,7,"Complex"
2,8,"Simple"
2,9,"Simple"
2,10,"Simple"
2,11,"Complex"
2,12,"Simple"
2,13,"Simple"
2,14,"Complex"
2,15,"Simple"
2,16,"Complex"
2,17,"Complex"
2,18,"Complex"
2,19,"Simple"
2,20,"Simple"
3,1,"Complex"
3,2,"Simple"
3,3,"Complex"
3,4,"Complex"
3,5,"Simple"
3,6,"Simple"
3,7,"Complex"
3,8,"Simple"
3,9,"Simple"
3,10,"Complex"
3,11,"Simple"
3,12,"Complex"
3,13,"Complex"
3,14,"Complex"
3,15,"Simple"
3,16,"Simple"
3,17,"Simple"
3,18,"Complex"
3,19,"Simple"
3,20,"Complex"
4,1,"Simple"
4,2,"Simple"
4,3,"Simple"
4,4,"Complex"
4,5,"Simple"
4,6,"Complex"
4,7,"Complex"
4,8,"Simple"
4,9,"Simple"
4,10,"Complex"
4,11,"Complex"
4,12,"Complex"
4,13,"Simple"
4,14,"Simple"
4,15,"Simple"
4,16,"Complex"
4,17,"Complex"
4,18,"Simple"
4,19,"Complex"
4,20,"Complex"
5,1,"Simple"
5,2,"Complex"
5,3,"Complex"
5,4,"Complex"
5,5,"Simple"
5,6,"Simple"
5,7,"Simple"
5,8,"Complex"
5,9,"Complex"
5,10,"Complex"
5,11,"Simple"
5,12,"Complex"
5,13,"Simple"
5,14,"Simple"
5,15,"Complex"
5,16,"Simple"
5,17,"Complex"
5,18,"Simple"
5,19,"Simple"
5,20,"Complex"
6,1,"Complex"
6,2,"Simple"
6,3,"Simple"
6,4,"Complex"
6,5,"Simple"
6,6,"Complex"
6,7,"Complex"
6,8,"Complex"
6,9,"Simple"
6,10,"Simple"
6,11,"Simple"
6,12,"Complex"
6,13,"Complex"
6,14,"Simple"
6,15,"Simple"
6,16,"Simple"
6,17,"Complex"
6,18,"Simple"
6,19,"Complex"
6,20,"Simple"
7,1,"Complex"
7,2,"Simple"
7,3,"Simple"
7,4,"Complex"
7,5,"Simple"
7,6,"Complex"
7,7,"Simple"
7,8,"Simple"
7,9,"Complex"
7,10,"Simple"
7,11,"Complex"
7,12,"Simple"
7,13,"Complex"
7,14,"Complex"
7,15,"Simple"
7,16,"Complex"
7,17,"Complex"
7,18,"Simple"
7,19,"Simple"
7,20,"Simple"
8,1,"Complex"
8,2,"Complex"
8,3,"Complex"
8,4,"Simple"
8,5,"Complex"
8,6,"Complex"
8,7,"Complex"
8,8,"Simple"
8,9,"Simple"
8,10,"Simple"
8,11,"Complex"
8,12,"Simple"
8,13,"Simple"
8,14,"Complex"
8,15,"Simple"
8,16,"Simple"
8,17,"Complex"
8,18,"Simple"
8,19,"Simple"
8,20,"Complex"
9,1,"Complex"
9,2,"Complex"
9,3,"Simple"
